################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.5210817487602331E+00 a       178     0    18     1     8
 -1.7189007226786694E+00 a       179     0    18     1     9
 -6.3326337904968710E+00 a       180     0    18     1    10
  2.7030696974662085E+00 a       181     0    19     1     1
  7.6324115925257345E+00 a       182     0    19     1     2
  1.0973247537776967E+00 a       183     0    19     1     3
 -1.5115862373583548E+00 a       184     0    19     1     4
  3.3775178103355921E+00 a       185     0    19     1     5
 -7.4911864590533428E+00 a       186     0    19     1     6
 -6.0060400299481334E+00 a       187     0    19     1     7
 -1.3577281829255463E+00 a       188     0    19     1     8
  8.2060024143705270E+00 a       189     0    19     1     9
 -1.4631643882803831E+00 a       190     0    19     1    10
 -1.1366960163960952E+01 a       191     0    20     1     1
  1.0472282055449750E+01 a       192     0    20     1     2
 -1.3227019166007192E+00 a       193     0    20     1     3
  2.7595394394763158E+01 a       194     0    20     1     4
 -3.4646163001006616E+00 a       195     0    20     1     5
  1.0842612873738023E+01 a       196     0    20     1     6
 -9.6443555920728468E+00 a       197     0    20     1     7
 -6.6761810368764465E+00 a       198     0    20     1     8
  3.8798407455843882E+00 a       199     0    20     1     9
 -2.7384556933119422E+00 a       200     0    20     1    10
 -6.7427323709824529E+00 a       201     0    21     1     1
  8.2743907780822603E+00 a       202     0    21     1     2
  1.5395974112723971E+00 a       203     0    21     1     3
  2.1716440756166943E+01 a       204     0    21     1     4
 -1.8338032478146424E+00 a       205     0    21     1     5
  5.1905626186689249E+00 a       206     0    21     1     6
 -1.0316616910262653E+01 a       207     0    21     1     7
 -5.6592175787362837E+00 a       208     0    21     1     8
  2.1402305179850089E+01 a       209     0    21     1     9
 -5.1701763633101754E+00 a       210     0    21     1    10
 -3.0941782895319636E+00 a       211     0    22     1     1
  7.9420396540865035E+00 a       212     0    22     1     2
  6.6391456144292347E+00 a       213     0    22     1     3
  2.9227656735273680E+01 a       214     0    22     1     4
  1.0312932409869410E+01 a       215     0    22     1     5
  2.4352477377420385E+01 a       216     0    22     1     6
  3.3400932159265309E+00 a       217     0    22     1     7
 -5.8321678428238126E+00 a       218     0    22     1     8
 -4.7686333413954651E+00 a       219     0    22     1     9
 -3.8746976348286561E+00 a       220     0    22     1    10
 -6.5280093025561108E+00 a       221     0    23     1     1
 -8.9946861130647571E-01 a       222     0    23     1     2
  1.6535203879386746E+00 a       223     0    23     1     3
  1.6559455918484627E+00 a       224     0    23     1     4
 -8.2670776769598149E+00 a       225     0    23     1     5
 -1.0488631151458385E+01 a       226     0    23     1     6
  1.9617214971906144E+01 a       227     0    23     1     7
 -5.9776195187200578E+00 a       228     0    23     1     8
 -8.4484412691037694E+00 a       229     0    23     1     9
 -1.4204736056919323E+01 a       230     0    23     1    10
 -4.8501425568732497E+00 a       231     0    24     1     1
  1.1461791553320609E+01 a       232     0    24     1     2
  1.0879224180598075E+00 a       233     0    24     1     3
 -4.3914425933758174E+00 a       234     0    24     1     4
 -8.5572292760698598E+00 a       235     0    24     1     5
 -7.6415122409136949E+00 a       236     0    24     1     6
 -4.8687349754138559E-01 a       237     0    24     1     7
 -4.3360119417368237E+00 a       238     0    24     1     8
 -1.1695792700991399E+01 a       239     0    24     1     9
 -1.2251677394094826E+00 a       240     0    24     1    10
  6.8895908806628381E-01 a       241     0    25     1     1
 -6.0321204601301233E+00 a       242     0    25     1     2
  4.3593639469544527E+00 a       243     0    25     1     3
 -6.9119312109668076E+00 a       244     0    25     1     4
 -1.6539455683113854E+01 a       245     0    25     1     5
 -1.1620246817628072E+01 a       246     0    25     1     6
 -3.6521818471596879E+00 a       247     0    25     1     7
 -9.4349097663781745E+00 a       248     0    25     1     8
 -2.1857944134204789E+01 a       249     0    25     1     9
 -1.8356936368337958E+01 a       250     0    25     1    10
  9.2134127128696583E+00 a       251     0    26     1     1
  1.4354549340952851E+00 a       252     0    26     1     2
  1.2724952418720939E+01 a       253     0    26     1     3
 -4.5931095260033999E+01 a       254     0    26     1     4
  1.4478948790144877E+00 a       255     0    26     1     5
 -4.8764247003446393E+00 a       256     0    26     1     6
 -1.0664090239732399E+01 a       257     0    26     1     7
 -5.0966012066982396E+00 a       258     0    26     1     8
  1.2638337722604014E+01 a       259     0    26     1     9
  1.3503995594428734E+01 a       260     0    26     1    10
  2.0464898701888616E+00 a       261     0    27     1     1
  2.6141898120077672E-01 a       262     0    27     1     2
 -9.3595801674337018E+00 a       263     0    27     1     3
  1.1073662143349752E+01 a       264     0    27     1     4
 -6.0502171238737090E-01 a       265     0    27     1     5
  3.0747706973429718E+00 a       266     0    27     1     6
 -1.2936602671974887E+01 a       267     0    27     1     7
 -5.6442019287676146E+00 a       268     0    27     1     8
  1.5490556879508328E+00 a       269     0    27     1     9
  9.7856738245602966E+00 a       270     0    27     1    10
  1.4508478039074461E+01 a       271     0    28     1     1
 -3.2635414573759916E-02 a       272     0    28     1     2
